participant,no_signed_duration,size,direction,correct,contrast,cond,response,log10_duration,duration,trial,session
perc002,0.07368,Small,1,1,High,control,1,-1.1326503828112076,0.36839999999999995,209,1
perc002,0.2,Small,-1,1,High,control,0,-0.6989700043360187,-1,210,1
perc002,0.07368,Small,-1,0,Low,control,1,-1.1326503828112076,-0.36839999999999995,211,1
perc002,0.04472,Small,1,1,Low,control,1,-1.349498205121633,0.2236,212,1
perc002,0.07368,Small,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,213,1
perc002,0.027144,Small,1,1,High,control,1,-1.5663261533629387,0.13572,214,1
perc002,0.04472,Small,1,1,High,control,1,-1.349498205121633,0.2236,215,1
perc002,0.2,Large,-1,1,High,control,0,-0.6989700043360187,-1,216,1
perc002,0.04472,Large,1,1,High,control,1,-1.349498205121633,0.2236,217,1
perc002,0.12139,Small,-1,1,Low,control,0,-0.9158170885795264,-0.60695,218,1
perc002,0.04472,Large,-1,1,High,control,0,-1.349498205121633,-0.2236,219,1
perc002,0.2,Large,-1,1,Low,control,0,-0.6989700043360187,-1,220,1
perc002,0.2,Small,-1,1,High,control,0,-0.6989700043360187,-1,221,1
perc002,0.2,Small,-1,1,Low,control,0,-0.6989700043360187,-1,222,1
perc002,0.01648,Large,-1,1,High,control,0,-1.783042792638903,-0.0824,223,1
perc002,0.01648,Small,1,1,Low,control,1,-1.783042792638903,0.0824,224,1
perc002,0.04472,Large,-1,1,High,control,0,-1.349498205121633,-0.2236,225,1
perc002,0.04472,Small,-1,1,High,control,0,-1.349498205121633,-0.2236,226,1
perc002,0.01648,Large,1,0,Low,control,0,-1.783042792638903,0.0824,227,1
perc002,0.01648,Large,1,0,Low,control,0,-1.783042792638903,0.0824,228,1
perc002,0.07368,Large,1,1,High,control,1,-1.1326503828112076,0.36839999999999995,229,1
perc002,0.07368,Small,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,230,1
perc002,0.01648,Small,-1,1,Low,control,0,-1.783042792638903,-0.0824,231,1
perc002,0.07368,Small,-1,1,Low,control,0,-1.1326503828112076,-0.36839999999999995,232,1
perc002,0.2,Large,1,1,High,control,1,-0.6989700043360187,1,233,1
perc002,0.2,Small,-1,1,Low,control,0,-0.6989700043360187,-1,234,1
perc002,0.04472,Small,1,1,Low,control,1,-1.349498205121633,0.2236,235,1
perc002,0.12139,Small,-1,1,High,control,0,-0.9158170885795264,-0.60695,236,1
perc002,0.04472,Small,1,1,High,control,1,-1.349498205121633,0.2236,237,1
perc002,0.027144,Large,1,1,High,control,1,-1.5663261533629387,0.13572,238,1
perc002,0.01648,Large,1,0,High,control,0,-1.783042792638903,0.0824,239,1
perc002,0.12139,Large,1,1,High,control,1,-0.9158170885795264,0.60695,240,1
perc002,0.07368,Large,-1,1,Low,control,0,-1.1326503828112076,-0.36839999999999995,241,1
perc002,0.07368,Large,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,242,1
perc002,0.07368,Small,1,1,High,control,1,-1.1326503828112076,0.36839999999999995,243,1
perc002,0.04472,Small,-1,1,High,control,0,-1.349498205121633,-0.2236,244,1
perc002,0.2,Large,1,1,Low,control,1,-0.6989700043360187,1,245,1
perc002,0.2,Large,1,1,Low,control,1,-0.6989700043360187,1,246,1
perc002,0.12139,Large,1,1,Low,control,1,-0.9158170885795264,0.60695,247,1
perc002,0.04472,Large,1,1,Low,control,1,-1.349498205121633,0.2236,248,1
perc002,0.04472,Small,1,1,High,control,1,-1.349498205121633,0.2236,249,1
perc002,0.12139,Large,1,1,High,control,1,-0.9158170885795264,0.60695,250,1
perc002,0.07368,Large,-1,1,Low,control,0,-1.1326503828112076,-0.36839999999999995,251,1
perc002,0.04472,Small,-1,1,Low,control,0,-1.349498205121633,-0.2236,252,1
perc002,0.027144,Large,1,1,Low,control,1,-1.5663261533629387,0.13572,253,1
perc002,0.04472,Large,-1,1,Low,control,0,-1.349498205121633,-0.2236,254,1
perc002,0.07368,Large,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,255,1
perc002,0.027144,Large,-1,1,High,control,0,-1.5663261533629387,-0.13572,256,1
perc002,0.01648,Small,1,1,High,control,1,-1.783042792638903,0.0824,257,1
perc002,0.2,Large,-1,1,High,control,0,-0.6989700043360187,-1,258,1
perc002,0.07368,Large,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,259,1
perc002,0.04472,Small,-1,1,Low,control,0,-1.349498205121633,-0.2236,260,1
perc002,0.01648,Small,1,0,Low,control,0,-1.783042792638903,0.0824,261,1
perc002,0.12139,Large,-1,1,Low,control,0,-0.9158170885795264,-0.60695,262,1
perc002,0.01648,Large,1,1,Low,control,1,-1.783042792638903,0.0824,263,1
perc002,0.12139,Small,1,1,High,control,1,-0.9158170885795264,0.60695,264,1
perc002,0.2,Small,-1,1,Low,control,0,-0.6989700043360187,-1,265,1
perc002,0.2,Large,-1,1,Low,control,0,-0.6989700043360187,-1,266,1
perc002,0.2,Large,1,1,Low,control,1,-0.6989700043360187,1,267,1
perc002,0.12139,Small,-1,1,Low,control,0,-0.9158170885795264,-0.60695,268,1
perc002,0.2,Large,1,1,High,control,1,-0.6989700043360187,1,269,1
perc002,0.2,Large,1,1,High,control,1,-0.6989700043360187,1,270,1
perc002,0.2,Small,1,1,Low,control,1,-0.6989700043360187,1,271,1
perc002,0.027144,Large,1,1,High,control,1,-1.5663261533629387,0.13572,272,1
perc002,0.2,Small,-1,1,Low,control,0,-0.6989700043360187,-1,273,1
perc002,0.12139,Small,-1,1,High,control,0,-0.9158170885795264,-0.60695,274,1
perc002,0.027144,Large,1,1,Low,control,1,-1.5663261533629387,0.13572,275,1
perc002,0.04472,Small,1,1,Low,control,1,-1.349498205121633,0.2236,276,1
perc002,0.027144,Small,1,1,High,control,1,-1.5663261533629387,0.13572,277,1
perc002,0.01648,Large,1,0,Low,control,0,-1.783042792638903,0.0824,278,1
perc002,0.04472,Large,-1,1,High,control,0,-1.349498205121633,-0.2236,279,1
perc002,0.12139,Large,1,1,High,control,1,-0.9158170885795264,0.60695,280,1
perc002,0.027144,Large,1,1,High,control,1,-1.5663261533629387,0.13572,281,1
perc002,0.027144,Small,1,1,High,control,1,-1.5663261533629387,0.13572,282,1
perc002,0.04472,Large,1,0,High,control,0,-1.349498205121633,0.2236,283,1
perc002,0.07368,Large,1,1,High,control,1,-1.1326503828112076,0.36839999999999995,284,1
perc002,0.01648,Large,-1,0,Low,control,1,-1.783042792638903,-0.0824,285,1
perc002,0.027144,Large,-1,0,High,control,1,-1.5663261533629387,-0.13572,286,1
perc002,0.04472,Small,1,1,Low,control,1,-1.349498205121633,0.2236,287,1
perc002,0.12139,Large,-1,1,Low,control,0,-0.9158170885795264,-0.60695,288,1
perc002,0.027144,Small,1,1,High,control,1,-1.5663261533629387,0.13572,289,1
perc002,0.027144,Small,-1,1,Low,control,0,-1.5663261533629387,-0.13572,290,1
perc002,0.04472,Small,1,1,Low,control,1,-1.349498205121633,0.2236,291,1
perc002,0.01648,Small,1,1,High,control,1,-1.783042792638903,0.0824,292,1
perc002,0.04472,Small,-1,1,High,control,0,-1.349498205121633,-0.2236,293,1
perc002,0.2,Large,1,1,High,control,1,-0.6989700043360187,1,294,1
perc002,0.01648,Large,-1,0,Low,control,1,-1.783042792638903,-0.0824,295,1
perc002,0.2,Small,1,1,Low,control,1,-0.6989700043360187,1,296,1
perc002,0.07368,Small,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,297,1
perc002,0.01648,Large,-1,1,Low,control,0,-1.783042792638903,-0.0824,298,1
